2025-11-05 19:59:31,051 | INFO | src.utils | Epoch 9 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:59:44,005 | INFO | src.utils | Epoch 10 train loss: 7.697519, examples=97401, time=13.0s
2025-11-05 19:59:54,983 | INFO | src.utils | Epoch 10 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 19:59:54,983 | INFO | src.utils | Saving checkpoint at epoch 10
2025-11-05 19:59:54,988 | INFO | src.engine | Saved checkpoint metadata to artifacts/model\checkpoint_epoch_10.pth
2025-11-05 19:59:54,992 | INFO | src.model | Saved model state_dict to artifacts/model\pytorch_model.bin
2025-11-05 19:59:54,994 | INFO | src.model | Saved config to artifacts/model\config.json
2025-11-05 19:59:54,995 | INFO | src.engine | Saved model weights/config via save_pretrained to artifacts/model
2025-11-05 20:00:07,412 | INFO | src.utils | Epoch 11 train loss: 7.697519, examples=97401, time=12.4s
2025-11-05 20:00:18,329 | INFO | src.utils | Epoch 11 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:00:30,509 | INFO | src.utils | Epoch 12 train loss: 7.697519, examples=97401, time=12.2s
2025-11-05 20:00:41,378 | INFO | src.utils | Epoch 12 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:00:54,088 | INFO | src.utils | Epoch 13 train loss: 7.697519, examples=97401, time=12.7s
2025-11-05 20:01:04,908 | INFO | src.utils | Epoch 13 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:01:17,109 | INFO | src.utils | Epoch 14 train loss: 7.697519, examples=97401, time=12.2s
2025-11-05 20:01:28,233 | INFO | src.utils | Epoch 14 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:01:40,816 | INFO | src.utils | Epoch 15 train loss: 7.697519, examples=97401, time=12.6s
2025-11-05 20:01:51,761 | INFO | src.utils | Epoch 15 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:01:51,762 | INFO | src.utils | Saving checkpoint at epoch 15
2025-11-05 20:01:51,767 | INFO | src.engine | Saved checkpoint metadata to artifacts/model\checkpoint_epoch_15.pth
2025-11-05 20:01:51,771 | INFO | src.model | Saved model state_dict to artifacts/model\pytorch_model.bin
2025-11-05 20:01:51,772 | INFO | src.model | Saved config to artifacts/model\config.json
2025-11-05 20:01:51,773 | INFO | src.engine | Saved model weights/config via save_pretrained to artifacts/model
2025-11-05 20:02:04,406 | INFO | src.utils | Epoch 16 train loss: 7.697519, examples=97401, time=12.6s
2025-11-05 20:02:15,478 | INFO | src.utils | Epoch 16 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:02:28,315 | INFO | src.utils | Epoch 17 train loss: 7.697519, examples=97401, time=12.8s
2025-11-05 20:02:39,253 | INFO | src.utils | Epoch 17 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:02:51,654 | INFO | src.utils | Epoch 18 train loss: 7.697519, examples=97401, time=12.4s
